Date,Close
2021-12-22,467.69000244140625
2021-12-23,470.6000061035156
2021-12-27,477.260009765625
2021-12-28,476.8699951171875
2021-12-29,477.4800109863281
2021-12-30,476.1600036621094
2021-12-31,474.9599914550781
2022-01-03,477.7099914550781
2022-01-04,477.54998779296875
2022-01-05,468.3800048828125
2022-01-06,467.94000244140625
2022-01-07,466.0899963378906
2022-01-10,465.510009765625
2022-01-11,469.75
2022-01-12,471.0199890136719
2022-01-13,464.5299987792969
2022-01-14,464.7200012207031
2022-01-18,456.489990234375
2022-01-19,451.75
2022-01-20,446.75
2022-01-21,437.9800109863281
